Código;Produto;Receita bruta;Lucro
3206;Refrigerante cola 2l;R$ 125,20;R$ 17,20
5302;Mini pizza;R$ 55,77;R$ 12,87
9005;Requeijao;R$ 59,18;R$ 11,88
5112;Bolo brigadeiro;R$ 22,29;R$ 5,79
9101;Pate presunto;R$ 30,72;R$ 5,12
4022;Salgado chips batata;R$ 30,60;R$ 5,10
7109;Biscoito recheado;R$ 31,10;R$ 4,10
9001;Queijo fatia 45g;R$ 16,89;R$ 3,39
10321;Empada camarao;R$ 10,74;R$ 3,34
9102;Pate atum;R$ 15,36;R$ 2,56
3001;H2O 600ml;R$ 52,92;R$ 2,52
3013;Suco de maracuja 1l;R$ 21,90;R$ 2,00
10320;Empada frango;R$ 5,08;R$ 1,58
5117;Bandeja doces;R$ 5,94;R$ 1,54
3010;Suco de uva 1l;R$ 13,14;R$ 1,20
4021;Salgado chips queijo;R$ 6,24;R$ 1,04
3205;Refrigerante laranja 2l;R$ 5,80;R$ 0,80
7101;Chocolate tablete;R$ 6,82;R$ 0,62
7110;Balas sortidas;R$ 0,00;R$ 0,00
9004;Manteiga 200g;R$ 0,00;R$ 0,00
