Nota fiscal;Fornecedor;Data da compra;Produto;Quantidade
111;5;01/01/2011;112;24
222;4;02/02/2012;223;10
333;3;03/03/2013;334;10
444;2;04/04/2014;556;10
555;1;05/05/2011;667;5
666;5;06/06/2012;778;5
777;4;07/07/2013;889;5
888;3;08/08/2014;999;5
999;2;20/05/2011;111;5
123;1;21/05/2012;222;1
234;5;22/05/2013;222;2
345;4;23/05/2014;333;3
456;3;24/05/2011;333;3
567;2;25/05/2012;333;4
678;1;26/05/2011;444;5
789;5;27/05/2012;444;5
890;4;28/05/2014;444;6
11;3;29/05/2005;444;7
22;2;30/05/2013;555;2
33;1;20/09/2012;555;3
44;5;21/09/2013;555;4
55;4;22/09/2014;555;1
66;3;23/09/2012;555;3
77;2;24/09/2012;666;4
88;1;25/09/2012;666;5
99;5;26/09/2013;666;6
12;4;27/09/2013;666;4
23;3;28/09/2014;666;6
34;2;29/09/2014;666;12
45;1;10/09/2014;112;2
