Nota fiscal;Fornecedor;Data da compra;Produto;Quantidade
985;100;04/05/2014;1002;10
985;100;04/05/2014;1003;10
824;200;06/05/2014;2001;18
824;200;06/05/2014;2002;8
824;200;06/05/2014;2003;8
631;300;06/05/2014;3001;20
366;400;08/05/2014;4002;10
778;500;11/05/2014;5001;16
565;700;13/05/2014;7001;8
565;700;13/05/2014;7002;10
565;700;13/05/2014;7003;10
565;700;13/05/2014;7004;10
199;800;14/05/2014;8001;18
199;800;14/05/2014;8002;14
199;800;14/05/2014;8003;14
199;800;14/05/2014;8004;14
824;200;17/05/2014;2001;8
824;200;17/05/2014;2002;5
824;200;17/05/2014;2003;5
824;200;17/05/2014;2004;10
398;700;23/05/2014;7002;8
398;700;23/05/2014;7003;8
398;700;23/05/2014;7004;8
663;800;26/05/2014;8002;5
663;800;26/05/2014;8003;5
663;800;26/05/2014;8004;5
848;100;28/05/2014;1002;10
848;100;28/05/2014;1003;10
225;400;28/05/2014;4001;12
225;400;28/05/2014;4002;5
