Cliente;Data de venda;Produto;Quantidade;Modo de pagamento
5050;01/12/2013;203;5;F
5050;05/01/2014;204;10;F
5050;12/05/2014;301;4;F
5001;10/06/2013;501;2;F
5001;15/06/2013;502;1;F
5001;20/06/2013;502;2;F
5000;14/10/2013;601;22;F
5000;18/11/2013;602;25;F
5000;21/01/2014;206;20;F
5100;12/03/2013;201;20;F
;24/06/2013;207;10;X
;23/10/2013;501;25;X
;30/11/2013;501;10;C
;31/11/2013;502;5;C
;20/01/2014;301;2;X
;23/02/2014;302;1;X
;30/02/2014;703;3;C
;10/03/2014;705;2;C
;30/11/2013;204;10;X
;31/11/2013;205;6;X
;23/12/2013;204;20;C
;31/12/2013;502;4;C
;30/01/2014;501;9;C
;31/02/2014;502;4;C
;24/06/2013;201;10;D
;23/10/2013;205;15;D
;30/11/2013;201;10;C
;31/11/2013;205;12;C
;20/01/2014;201;12;X
;23/02/2014;703;6;X



