Código;Produto;Receita bruta;Lucro
1002;Cupcake Brigadeiro;R$ 64,00;R$ 56,00
1004;Cupcake Nutella;R$ 52,00;R$ 45,50
1003;Cupcake Baunilha;R$ 48,00;R$ 42,00
1007;Guiness Long Neck;R$ 114,00;R$ 14,00
1009;Pizza Maracanã;R$ 86,25;R$ 11,25
1011;Bolo Chocolate;R$ 60,00;R$ 10,00
1001;Sfiha Queijo;R$ 24,45;R$ 4,95
1005;Heineken Long Neck;R$ 42,80;R$ 2,80
1006;Heineken Lata;R$ 36,40;R$ 2,40
1010;Pizza Broto;R$ 16,10;R$ 2,10
1000;Sfiha Frango;R$ 7,80;R$ 1,55
1008;Brahma Lata;R$ 5,36;R$ 0,36
1012;Bolo Morango;R$ 0,00;R$ 0,00
1013;Pao de Forma;R$ 0,00;R$ 0,00
1014;Pao Doce;R$ 0,00;R$ 0,00
1015;Pao Frances;R$ 0,00;R$ 0,00
