Cliente;Data de venda;Produto;Quantidade;Modo de pagamento
1010;05/04/2013;002;2;F
1010;08/02/2014;002;3;F
1010;15/03/2012;004;4;F
2020;20/05/2012;008;2;F
2020;20/05/2013;004;3;F
2020;10/01/2012;004;2;F
2020;17/01/2014;008;3;F
3030;19/02/2012;005;1;F
4040;11/01/2013;012;4;F
;25/07/2013;005;5;$
;29/01/2014;001;3;$
;10/11/2014;006;5;C
;30/12/2014;020;4;C
5050;04/08/2014;017;4;F
6060;06/09/2014;018;1;F
2020;10/02/2014;018;2;F
1010;11/01/2014;005;1;F
4040;15/05/2014;005;5;F
2020;19/04/2014;008;5;F
8080;19/01/2014;005;3;F
1010;17/02/2014;006;2;F
100100;16/02/2014;004;7;F
;21/03/2014;007;5;$
;22/03/2014;005;7;$
;29/08/2014;009;2;$
;20/01/2014;010;1;C
;15/09/2014;011;3;C
9090;03/08/2014;011;2;F
7070;07/06/2014;013;3;F
8080;12/01/2014;017;4;F
3030;18/06/2014;005;5;F
2020;15/05/2014;001;6;F
4040;15/2/2014;008;7;F
