Nota fiscal;Fornecedor;Data da compra;Produto;Quantidade
543;54;17/07/2014;120;20
652;54;17/07/2014;121;15
173;54;17/07/2014;122;15
491;54;17/07/2014;123;15
455;54;17/07/2014;124;15
326;54;17/07/2014;122;15
173;34;12/06/2014;215;8
214;34;12/06/2014;216;8
381;34;12/06/2014;217;12
687;34;12/06/2014;218;8
355;34;12/06/2014;219;6
406;34;12/06/2014;146;8
234;56;07/08/2014;422;6
121;56;07/08/2014;423;12
407;56;07/08/2014;300;12
912;56;07/08/2014;215;4
457;56;07/08/2014;216;4
305;56;07/08/2014;217;4
543;67;09/05/2014;120;13
622;67;09/05/2014;121;14
374;67;09/05/2014;122;10
127;67;09/05/2014;123;15
369;67;09/05/2014;124;20
165;67;09/05/2014;122;12
482;98;25/04/2014;215;11
703;98;25/04/2014;216;12
965;98;25/04/2014;217;14
213;98;25/04/2014;218;7
706;98;25/04/2014;219;8
221;98;25/04/2014;146;10
