Cliente;Data de venda;Produto;Quantidade;Modo de pagamento
9442;01/05/2014;112;3;F
5466;02/05/2014;223;4;F
5643;02/05/2014;334;2;F
9997;03/05/2014;445;21;F
3338;03/05/2014;556;34;F
4654;03/05/2014;667;5;F
7985;04/05/2014;778;6;F
7981;04/05/2014;889;7;F
8888;04/05/2014;999;8;F
;04/05/2014;111;5;$
;05/05/2014;222;6;$
;05/05/2014;333;8;$
;05/05/2014;444;4;C
;05/05/2014;555;6;C
3338;05/05/2014;666;7;F
4654;06/05/2014;112;8;F
;06/05/2014;223;7;X
;06/05/2014;334;4;X
;06/05/2014;445;3;X
9999;06/05/2014;556;4;F
;06/05/2014;667;5;C
;06/05/2014;778;6;C
;07/05/2015;889;12;C
;07/05/2015;999;13;X
;07/05/2015;111;14;$
;07/05/2015;222;15;$
;07/05/2015;333;2;$
;07/05/2015;444;3;C
;07/05/2015;555;4;C
;07/05/2015;666;5;$
