Código;Produto;Receita bruta;Lucro
422;Bolos variados;R$ 335,50;R$ 60,50
300;Picolé;R$ 53,76;R$ 11,76
218;Iogurte 900ml;R$ 47,52;R$ 11,52
146;Cereal de milho;R$ 41,40;R$ 11,40
216;Manteiga;R$ 55,58;R$ 10,08
215;Requeijão;R$ 49,41;R$ 8,91
217;Margarina;R$ 49,41;R$ 8,91
125;Coxinha;R$ 47,32;R$ 5,07
219;Leite em caixa;R$ 18,24;R$ 4,44
124;Pastel assado;R$ 40,04;R$ 4,29
123;Pastel frito;R$ 30,80;R$ 3,30
122;Pão de queijo;R$ 26,88;R$ 2,88
120;Pão doce;R$ 13,44;R$ 1,44
423;Bombom;R$ 9,52;R$ 1,02
121;Pão francês;R$ 6,72;R$ 0,72
