Código;Produto;Receita bruta;Lucro
402;Salgado assado;R$ 61,60;R$ 17,60
403;Docinho;R$ 49,00;R$ 14,00
105;Suco de laranja garrafa;R$ 104,65;R$ 13,65
108;Água de coco garrafa;R$ 45,56;R$ 5,96
201;Biscoito salgado;R$ 22,10;R$ 5,10
202;Biscoito doce;R$ 10,92;R$ 2,52
103;Refrigerante 2l;R$ 14,85;R$ 1,95
301;Bandeja presunto fatiado;R$ 6,88;R$ 1,38
101;Refrigerante lata;R$ 5,76;R$ 0,76
102;Refrigerante 600ml;R$ 4,48;R$ 0,58
104;Cerveja long neck;R$ 0,00;R$ 0,00
106;Água 500ml;R$ 0,00;R$ 0,00
107;Água 2l;R$ 0,00;R$ 0,00
109;Cerveja lata;R$ 0,00;R$ 0,00
302;Bandeja queijo fatiado;R$ 0,00;R$ 0,00
303;Bandeja salame fatiado;R$ 0,00;R$ 0,00
401;Salgado frito;R$ 0,00;R$ 0,00
